,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude,date_norm
0,olafsvik,33.28,63,100,7.09,1646700798,IS,-23.7142,64.8945,3/8/2022
1,jamestown,31.28,69,100,17.27,1646700798,US,-79.2353,42.097,3/8/2022
2,taksimo,14.29,88,96,1.99,1646700799,RU,114.8794,56.3444,3/8/2022
3,bambous virieux,75.45,100,75,2.3,1646700799,MU,57.7575,-20.3428,3/8/2022
4,albany,52.68,89,100,1.01,1646700799,US,-73.9662,42.6001,3/8/2022
5,puerto del rosario,62.35,59,4,11.5,1646700799,ES,-13.8627,28.5004,3/8/2022
6,aklavik,7.63,93,99,5.95,1646700799,CA,-135.0107,68.2191,3/8/2022
7,kimberley,62.29,100,100,1.14,1646700800,ZA,24.7623,-28.7323,3/8/2022
8,beringovskiy,32.54,98,79,5.66,1646700800,RU,179.3167,63.05,3/8/2022
9,cape town,66.31,77,20,20.71,1646700602,ZA,18.4232,-33.9258,3/8/2022
10,hermanus,67.8,78,100,13.15,1646700800,ZA,19.2345,-34.4187,3/8/2022
11,san patricio,53.91,55,100,14.32,1646700801,US,-97.5169,28.017,3/8/2022
12,esperance,64.24,71,100,10.69,1646700801,AU,121.9,-33.8667,3/8/2022
13,antofagasta,67.3,83,47,2.8,1646700513,CL,-70.4,-23.65,3/8/2022
14,rikitea,79.34,74,6,14.63,1646700801,PF,-134.9692,-23.1203,3/8/2022
15,butaritari,80.8,81,100,16.93,1646700801,KI,172.7902,3.0707,3/8/2022
16,talnakh,-25.4,92,22,1.86,1646700802,RU,88.3972,69.4865,3/8/2022
17,punta arenas,51.91,82,0,16.11,1646700802,CL,-70.9167,-53.15,3/8/2022
18,saskylakh,-30.41,100,97,3.42,1646700802,RU,114.0833,71.9167,3/8/2022
19,myitkyina,68.41,43,23,2.53,1646700802,MM,97.4,25.3833,3/8/2022
20,kokopo,83.75,69,99,5.26,1646700803,PG,152.2633,-4.352,3/8/2022
21,lebu,56.75,88,42,4.68,1646700803,CL,-73.65,-37.6167,3/8/2022
22,bengkulu,77.83,78,91,2.84,1646700803,ID,102.2655,-3.8004,3/8/2022
23,hithadhoo,82.51,65,54,5.7,1646700804,MV,73.0833,-0.6,3/8/2022
24,avarua,75.25,100,75,4.61,1646700804,CK,-159.775,-21.2078,3/8/2022
